,CountryOfExploitation,citizenship,majorityStatus,gender,yearOfRegistration,isForcedLabour,isSexualExploit,isOtherExploit,Cases,"Adolescent fertility rate (births per 1,000 women ages 15-19)_expl_country","Age at first marriage, female_expl_country","Age at first marriage, male_expl_country","Mortality rate, under-5, male (per 1,000)_expl_country","Mortality rate, under-5, female (per 1,000)_expl_country","Mortality rate, under-5 (per 1,000)_expl_country","Mortality rate, neonatal (per 1,000 live births)_expl_country","Mortality rate, adult, male (per 1,000 male adults)_expl_country","Mortality rate, adult, female (per 1,000 female adults)_expl_country",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)_expl_country,"Unemployment, female (% of female labor force)_expl_country","Unemployment, male (% of male labor force)_expl_country","Unemployment, total (% of total labor force)_expl_country","Adolescent fertility rate (births per 1,000 women ages 15-19)_cit_country","Age at first marriage, female_cit_country","Age at first marriage, male_cit_country","Mortality rate, under-5, male (per 1,000)_cit_country","Mortality rate, under-5, female (per 1,000)_cit_country","Mortality rate, under-5 (per 1,000)_cit_country","Mortality rate, neonatal (per 1,000 live births)_cit_country","Mortality rate, adult, male (per 1,000 male adults)_cit_country","Mortality rate, adult, female (per 1,000 female adults)_cit_country",Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)_cit_country,"Unemployment, female (% of female labor force)_cit_country","Unemployment, male (% of male labor force)_cit_country","Unemployment, total (% of total labor force)_cit_country"
244,TJ,TJ,Adult,Male,2011,0.0,0.0,0.0,32,49.2628,..,..,46.4,36.6,41.6,19.3,170.686,111.308,..,10.539999961853,12.1979999542236,11.6140003204346,49.2628,..,..,46.4,36.6,41.6,19.3,170.686,111.308,..,10.539999961853,12.1979999542236,11.6140003204346
245,TM,TM,Adult,Female,2010,0.0,0.0,0.0,15,24.7322,..,..,48.5,36.8,42.8,22.7,260.71,140.792,..,2.26900005340576,5.22800016403198,4,24.7322,..,..,48.5,36.8,42.8,22.7,260.71,140.792,..,2.26900005340576,5.22800016403198,4
246,TM,TM,Adult,Female,2011,0.0,0.0,0.0,11,25.5936,..,..,47.7,36.2,42.1,22.6,256.483,138.327,..,2.29800009727478,5.20699977874756,4.0019998550415,25.5936,..,..,47.7,36.2,42.1,22.6,256.483,138.327,..,2.29800009727478,5.20699977874756,4.0019998550415
247,TR,MD,Adult,Female,2006,12.0,23.0,0.0,23,39.8638,..,..,25.8,23.2,24.5,12.5,166.508,85.259,..,9.09700012207031,8.58300018310547,8.7180004119873,27.9222,..,..,20.8,16.6,18.7,13.3,309.62,149.985,..,5.79699993133545,8.96700000762939,7.38000011444092
248,TR,UA,Adult,Female,2005,43.0,80.0,0.0,80,41.2136,..,..,27.8,25.1,26.5,13.6,169.48,87.677,..,11.1800003051758,10.4440002441406,10.6359996795654,29.9582,23.9,..,16,12.9,14.5,8.7,403.431,150.196,..,6.82200002670288,7.51100015640259,7.17999982833862
249,TR,UA,Adult,Female,2006,0.0,40.0,0.0,40,39.8638,..,..,25.8,23.2,24.5,12.5,166.508,85.259,..,9.09700012207031,8.58300018310547,8.7180004119873,30.1846,..,..,15.4,12.4,13.9,8.4,384.568,142.426,..,6.60200023651123,7.00299978256226,6.80999994277954
250,TR,UA,Adult,Female,2007,15.0,54.0,0.0,54,38.514,..,..,23.9,21.5,22.7,11.5,163.536,82.84,..,9.14599990844727,8.76900005340576,8.86800003051758,30.411,23.1,25.9,14.8,11.9,13.4,8,396.138,146.547,4.2,5.99499988555908,6.67899990081787,6.35099983215332
251,TT,ID,Adult,Male,2014,85.0,0.0,0.0,85,32.919,..,..,22.2,18.3,20.3,13.5,216.52,123.419,..,2.56100010871887,1.97599995136261,2.22399997711182,49.2346,..,..,31.9,25.8,28.9,15.2,206.941,147.893,..,3.88299989700317,4.15000009536743,4.04899978637695
252,TW,ID,Adult,Female,2014,33.0,0.0,0.0,33,23.0026,..,..,9.5,7.8,8.6,5.2,..,..,..,7.42399978637695,10.0290002822876,8.79899978637695,,,,,,,,,,,,,
253,UA,0,Minor,Female,2018,0.0,0.0,0.0,12,23.0026,..,..,9.5,7.8,8.6,5.2,..,..,..,7.42399978637695,10.0290002822876,8.79899978637695,,,,,,,,,,,,,
254,UA,0,Minor,Male,2018,0.0,0.0,0.0,24,27.953,23,..,11.7,9.5,10.7,6.4,295.545,112.032,..,6.44199991226196,8.50300025939941,7.52899980545044,25.767,21.9,25.7,18.3,14.6,16.5,12.3,250.591,102.165,..,4.28599977493286,6.81799983978271,5.57800006866455
255,UA,MD,Adult,Male,2012,0.0,0.0,0.0,12,25.4078,..,..,10.4,8.5,9.5,5.7,..,..,..,8.07699966430664,10.0959997177124,9.14000034332275,23.7558,..,..,17.3,13.8,15.6,11.6,243.767,98.788,..,2.92000007629395,4.44500017166138,3.69400000572205
256,UA,MD,Minor,Female,2015,0.0,0.0,0.0,12,24.5594,..,..,10.1,8.2,9.2,5.5,..,..,..,7.69299983978271,10.8339996337891,9.35000038146973,23.0854,..,..,16.9,13.5,15.3,11.4,241.492,97.662,..,2.88000011444092,5.44799995422363,4.18499994277954
257,UA,MD,Minor,Female,2016,0.0,0.0,0.0,11,25.4078,..,..,10.4,8.5,9.5,5.7,..,..,..,8.07699966430664,10.0959997177124,9.14000034332275,23.7558,..,..,17.3,13.8,15.6,11.6,243.767,98.788,..,2.92000007629395,4.44500017166138,3.69400000572205
258,UA,MD,Minor,Male,2015,0.0,0.0,0.0,17,24.5594,..,..,10.1,8.2,9.2,5.5,..,..,..,7.69299983978271,10.8339996337891,9.35000038146973,23.0854,..,..,16.9,13.5,15.3,11.4,241.492,97.662,..,2.88000011444092,5.44799995422363,4.18499994277954
259,UA,MD,Minor,Male,2016,0.0,0.0,0.0,12,30.411,23.1,25.9,14.8,11.9,13.4,8,396.138,146.547,4.2,5.99499988555908,6.67899990081787,6.35099983215332,30.411,23.1,25.9,14.8,11.9,13.4,8,396.138,146.547,4.2,5.99499988555908,6.67899990081787,6.35099983215332
260,UA,UA,Adult,Female,2007,0.0,55.0,0.0,67,29.9194,..,..,14.2,11.5,12.9,7.7,391.412,145.477,..,6.08799982070923,6.61800003051758,6.36299991607666,29.9194,..,..,14.2,11.5,12.9,7.7,391.412,145.477,..,6.08799982070923,6.61800003051758,6.36299991607666
261,UA,UA,Adult,Female,2008,31.0,0.0,0.0,384,29.4278,..,..,13.6,11,12.3,7.4,334.021,127.738,..,7.29899978637695,10.2740001678467,8.84000015258789,29.4278,..,..,13.6,11,12.3,7.4,334.021,127.738,..,7.29899978637695,10.2740001678467,8.84000015258789
262,UA,UA,Adult,Female,2009,0.0,0.0,0.0,266,28.9362,..,..,12.9,10.5,11.7,7,309.172,118.251,..,6.81500005722046,9.29300022125244,8.10000038146973,28.9362,..,..,12.9,10.5,11.7,7,309.172,118.251,..,6.81500005722046,9.29300022125244,8.10000038146973
263,UA,UA,Adult,Female,2010,0.0,0.0,0.0,195,28.4446,..,..,12.3,10,11.2,6.7,295.993,111.607,..,6.67899990081787,8.92399978637695,7.85099983215332,28.4446,..,..,12.3,10,11.2,6.7,295.993,111.607,..,6.67899990081787,8.92399978637695,7.85099983215332
264,UA,UA,Adult,Female,2011,0.0,0.0,0.0,197,27.953,23,..,11.7,9.5,10.7,6.4,295.545,112.032,..,6.44199991226196,8.50300025939941,7.52899980545044,27.953,23,..,11.7,9.5,10.7,6.4,295.545,112.032,..,6.44199991226196,8.50300025939941,7.52899980545044
265,UA,UA,Adult,Female,2012,0.0,0.0,0.0,355,27.1046,..,..,11.2,9.1,10.2,6.1,292.069,111.279,..,6.21600008010864,8.03499984741211,7.17000007629395,27.1046,..,..,11.2,9.1,10.2,6.1,292.069,111.279,..,6.21600008010864,8.03499984741211,7.17000007629395
266,UA,UA,Adult,Female,2013,0.0,0.0,0.0,213,26.2562,..,..,10.8,8.8,9.8,5.9,..,..,..,7.51599979400635,10.8439998626709,9.27000045776367,26.2562,..,..,10.8,8.8,9.8,5.9,..,..,..,7.51599979400635,10.8439998626709,9.27000045776367
267,UA,UA,Adult,Female,2014,0.0,0.0,0.0,273,25.4078,..,..,10.4,8.5,9.5,5.7,..,..,..,8.07699966430664,10.0959997177124,9.14000034332275,25.4078,..,..,10.4,8.5,9.5,5.7,..,..,..,8.07699966430664,10.0959997177124,9.14000034332275
268,UA,UA,Adult,Female,2015,0.0,0.0,0.0,62,24.5594,..,..,10.1,8.2,9.2,5.5,..,..,..,7.69299983978271,10.8339996337891,9.35000038146973,24.5594,..,..,10.1,8.2,9.2,5.5,..,..,..,7.69299983978271,10.8339996337891,9.35000038146973
269,UA,UA,Adult,Female,2016,0.0,0.0,0.0,204,23.711,..,..,9.8,8,8.9,5.3,..,..,..,7.74700021743774,11.0860004425049,9.51000022888184,23.711,..,..,9.8,8,8.9,5.3,..,..,..,7.74700021743774,11.0860004425049,9.51000022888184
270,UA,UA,Adult,Female,2017,0.0,0.0,0.0,441,23.0026,..,..,9.5,7.8,8.6,5.2,..,..,..,7.42399978637695,10.0290002822876,8.79899978637695,23.0026,..,..,9.5,7.8,8.6,5.2,..,..,..,7.42399978637695,10.0290002822876,8.79899978637695
271,UA,UA,Adult,Female,2018,0.0,0.0,0.0,141,29.9194,..,..,14.2,11.5,12.9,7.7,391.412,145.477,..,6.08799982070923,6.61800003051758,6.36299991607666,29.9194,..,..,14.2,11.5,12.9,7.7,391.412,145.477,..,6.08799982070923,6.61800003051758,6.36299991607666
272,UA,UA,Adult,Male,2008,12.0,0.0,0.0,51,28.9362,..,..,12.9,10.5,11.7,7,309.172,118.251,..,6.81500005722046,9.29300022125244,8.10000038146973,28.9362,..,..,12.9,10.5,11.7,7,309.172,118.251,..,6.81500005722046,9.29300022125244,8.10000038146973
273,UA,UA,Adult,Male,2010,11.0,0.0,0.0,38,28.4446,..,..,12.3,10,11.2,6.7,295.993,111.607,..,6.67899990081787,8.92399978637695,7.85099983215332,28.4446,..,..,12.3,10,11.2,6.7,295.993,111.607,..,6.67899990081787,8.92399978637695,7.85099983215332
274,UA,UA,Adult,Male,2011,0.0,0.0,0.0,89,27.953,23,..,11.7,9.5,10.7,6.4,295.545,112.032,..,6.44199991226196,8.50300025939941,7.52899980545044,27.953,23,..,11.7,9.5,10.7,6.4,295.545,112.032,..,6.44199991226196,8.50300025939941,7.52899980545044
275,UA,UA,Adult,Male,2012,0.0,0.0,0.0,453,27.1046,..,..,11.2,9.1,10.2,6.1,292.069,111.279,..,6.21600008010864,8.03499984741211,7.17000007629395,27.1046,..,..,11.2,9.1,10.2,6.1,292.069,111.279,..,6.21600008010864,8.03499984741211,7.17000007629395
276,UA,UA,Adult,Male,2013,0.0,0.0,0.0,251,26.2562,..,..,10.8,8.8,9.8,5.9,..,..,..,7.51599979400635,10.8439998626709,9.27000045776367,26.2562,..,..,10.8,8.8,9.8,5.9,..,..,..,7.51599979400635,10.8439998626709,9.27000045776367
277,UA,UA,Adult,Male,2014,0.0,0.0,0.0,382,24.5594,..,..,10.1,8.2,9.2,5.5,..,..,..,7.69299983978271,10.8339996337891,9.35000038146973,24.5594,..,..,10.1,8.2,9.2,5.5,..,..,..,7.69299983978271,10.8339996337891,9.35000038146973
278,UA,UA,Adult,Male,2016,0.0,0.0,0.0,268,23.711,..,..,9.8,8,8.9,5.3,..,..,..,7.74700021743774,11.0860004425049,9.51000022888184,23.711,..,..,9.8,8,8.9,5.3,..,..,..,7.74700021743774,11.0860004425049,9.51000022888184
279,UA,UA,Adult,Male,2017,0.0,0.0,0.0,588,23.0026,..,..,9.5,7.8,8.6,5.2,..,..,..,7.42399978637695,10.0290002822876,8.79899978637695,23.0026,..,..,9.5,7.8,8.6,5.2,..,..,..,7.42399978637695,10.0290002822876,8.79899978637695
280,UA,UA,Adult,Male,2018,0.0,0.0,0.0,227,28.9362,..,..,12.9,10.5,11.7,7,309.172,118.251,..,6.81500005722046,9.29300022125244,8.10000038146973,28.9362,..,..,12.9,10.5,11.7,7,309.172,118.251,..,6.81500005722046,9.29300022125244,8.10000038146973
281,UA,UA,Minor,Female,2010,0.0,0.0,0.0,11,28.4446,..,..,12.3,10,11.2,6.7,295.993,111.607,..,6.67899990081787,8.92399978637695,7.85099983215332,28.4446,..,..,12.3,10,11.2,6.7,295.993,111.607,..,6.67899990081787,8.92399978637695,7.85099983215332
282,UA,UA,Minor,Female,2011,0.0,0.0,0.0,19,27.953,23,..,11.7,9.5,10.7,6.4,295.545,112.032,..,6.44199991226196,8.50300025939941,7.52899980545044,27.953,23,..,11.7,9.5,10.7,6.4,295.545,112.032,..,6.44199991226196,8.50300025939941,7.52899980545044
283,UA,UA,Minor,Female,2012,0.0,0.0,0.0,34,25.4078,..,..,10.4,8.5,9.5,5.7,..,..,..,8.07699966430664,10.0959997177124,9.14000034332275,25.4078,..,..,10.4,8.5,9.5,5.7,..,..,..,8.07699966430664,10.0959997177124,9.14000034332275
284,UA,UA,Minor,Female,2015,0.0,0.0,0.0,16,23.711,..,..,9.8,8,8.9,5.3,..,..,..,7.74700021743774,11.0860004425049,9.51000022888184,23.711,..,..,9.8,8,8.9,5.3,..,..,..,7.74700021743774,11.0860004425049,9.51000022888184
285,UA,UA,Minor,Female,2017,0.0,0.0,0.0,14,23.0026,..,..,9.5,7.8,8.6,5.2,..,..,..,7.42399978637695,10.0290002822876,8.79899978637695,23.0026,..,..,9.5,7.8,8.6,5.2,..,..,..,7.42399978637695,10.0290002822876,8.79899978637695
286,UA,UA,Minor,Female,2018,0.0,0.0,0.0,14,28.4446,..,..,12.3,10,11.2,6.7,295.993,111.607,..,6.67899990081787,8.92399978637695,7.85099983215332,28.4446,..,..,12.3,10,11.2,6.7,295.993,111.607,..,6.67899990081787,8.92399978637695,7.85099983215332
287,UA,UA,Minor,Male,2011,0.0,0.0,0.0,18,27.953,23,..,11.7,9.5,10.7,6.4,295.545,112.032,..,6.44199991226196,8.50300025939941,7.52899980545044,27.953,23,..,11.7,9.5,10.7,6.4,295.545,112.032,..,6.44199991226196,8.50300025939941,7.52899980545044
288,UA,UA,Minor,Male,2012,0.0,0.0,0.0,17,23.0026,..,..,9.5,7.8,8.6,5.2,..,..,..,7.42399978637695,10.0290002822876,8.79899978637695,23.0026,..,..,9.5,7.8,8.6,5.2,..,..,..,7.42399978637695,10.0290002822876,8.79899978637695
289,UA,UA,Minor,Male,2018,0.0,0.0,0.0,11,150.734,..,..,101.1,85.6,93.5,26.8,429.089,368.163,..,2.85599994659424,2.17899990081787,2.50300002098084,130.77,20.8,25.2,135.7,118.9,127.5,34.6,322.952,272.718,23.8,2.38000011444092,3.76999998092651,3.08100008964539
290,UG,CD,Minor,Female,2007,0.0,0.0,0.0,25,150.734,..,..,101.1,85.6,93.5,26.8,429.089,368.163,..,2.85599994659424,2.17899990081787,2.50300002098084,130.77,20.8,25.2,135.7,118.9,127.5,34.6,322.952,272.718,23.8,2.38000011444092,3.76999998092651,3.08100008964539
291,UG,CD,Minor,Male,2007,0.0,0.0,0.0,28,..,..,..,50.5,41,45.8,20,..,..,..,2.2960000038147,1.40299999713898,1.84300005435944,..,..,..,50.5,41,45.8,20,..,..,..,2.2960000038147,1.40299999713898,1.84300005435944
292,UG,UG,Adult,Female,2019,0.0,14.0,0.0,14,126.6672,..,..,65,53.6,59.4,23,357.228,275.925,..,2.40400004386902,1.37800002098083,1.87999999523163,126.6672,..,..,65,53.6,59.4,23,357.228,275.925,..,2.40400004386902,1.37800002098083,1.87999999523163
293,UG,UG,Minor,Female,2014,44.0,0.0,0.0,44,126.6672,..,..,65,53.6,59.4,23,357.228,275.925,..,2.40400004386902,1.37800002098083,1.87999999523163,126.6672,..,..,65,53.6,59.4,23,357.228,275.925,..,2.40400004386902,1.37800002098083,1.87999999523163
294,UG,UG,Minor,Male,2014,26.0,0.0,0.0,26,..,..,..,50.5,41,45.8,20,..,..,..,2.2960000038147,1.40299999713898,1.84300005435944,..,..,..,50.5,41,45.8,20,..,..,..,2.2960000038147,1.40299999713898,1.84300005435944
295,UG,UG,unknown,Female,2019,0.0,14.0,0.0,14,23.0908,..,..,7.4,6.2,6.8,3.9,134.263,80.389,..,5.17700004577637,5.36700010299683,5.28000020980835,,,,,,,,,,,,,
296,US,0,Adult,Female,2015,0.0,381.0,0.0,381,21.4754,..,..,7.3,6.1,6.7,3.8,138.455,82.066,..,4.78800010681152,4.93800020217896,4.86899995803833,,,,,,,,,,,,,
297,US,0,Adult,Female,2016,0.0,1012.0,0.0,1051,19.86,..,..,7.3,6,6.7,3.8,139.141,81.935,..,4.30800008773804,4.39599990844727,4.35500001907349,,,,,,,,,,,,,
298,US,0,Adult,Female,2017,0.0,1313.0,0.0,1385,18.5562,..,..,7.2,6,6.6,3.8,..,..,..,3.83699989318848,3.94600009918213,3.89599990844727,,,,,,,,,,,,,
299,US,0,Adult,Female,2018,28.0,1822.0,0.0,1963,23.0908,..,..,7.4,6.2,6.8,3.9,134.263,80.389,..,5.17700004577637,5.36700010299683,5.28000020980835,,,,,,,,,,,,,
300,US,0,Minor,Female,2015,0.0,435.0,0.0,446,21.4754,..,..,7.3,6.1,6.7,3.8,138.455,82.066,..,4.78800010681152,4.93800020217896,4.86899995803833,,,,,,,,,,,,,
301,US,0,Minor,Female,2016,11.0,800.0,0.0,846,19.86,..,..,7.3,6,6.7,3.8,139.141,81.935,..,4.30800008773804,4.39599990844727,4.35500001907349,,,,,,,,,,,,,
302,US,0,Minor,Female,2017,37.0,1035.0,0.0,1080,18.5562,..,..,7.2,6,6.6,3.8,..,..,..,3.83699989318848,3.94600009918213,3.89599990844727,,,,,,,,,,,,,
303,US,0,Minor,Female,2018,49.0,1277.0,0.0,1371,21.4754,..,..,7.3,6.1,6.7,3.8,138.455,82.066,..,4.78800010681152,4.93800020217896,4.86899995803833,,,,,,,,,,,,,
304,US,0,Minor,Male,2016,22.0,18.0,0.0,40,19.86,..,..,7.3,6,6.7,3.8,139.141,81.935,..,4.30800008773804,4.39599990844727,4.35500001907349,,,,,,,,,,,,,
305,US,0,Minor,Male,2017,54.0,48.0,0.0,102,18.5562,..,..,7.2,6,6.6,3.8,..,..,..,3.83699989318848,3.94600009918213,3.89599990844727,,,,,,,,,,,,,
306,US,0,Minor,Male,2018,23.0,134.0,0.0,157,19.86,..,..,7.3,6,6.7,3.8,139.141,81.935,..,4.30800008773804,4.39599990844727,4.35500001907349,7.635,..,..,9.7,8.6,9.2,4.5,95.115,61.091,..,3.84699988365173,4.90500020980835,4.44099998474121
307,US,CN,Adult,Female,2017,0.0,11.0,0.0,11,18.5562,..,..,7.2,6,6.6,3.8,..,..,..,3.83699989318848,3.94600009918213,3.89599990844727,7.643,..,..,9,8,8.5,4.2,93.777,60.272,..,3.70300006866455,4.72200012207031,4.27600002288818
308,US,CN,Adult,Female,2018,0.0,12.0,0.0,12,21.4754,..,..,7.3,6.1,6.7,3.8,138.455,82.066,..,4.78800010681152,4.93800020217896,4.86899995803833,1.4564,..,..,3.7,3.1,3.4,1.6,83.86,34.344,..,3.58400011062622,3.78299999237061,3.70000004768372
309,US,KR,Adult,Female,2016,0.0,12.0,0.0,12,19.86,..,..,7.3,6,6.7,3.8,139.141,81.935,..,4.30800008773804,4.39599990844727,4.35500001907349,60.365,..,..,16.6,13.7,15.2,8.5,138.268,77.831,..,3.6010000705719,3.31100010871887,3.42000007629395
310,US,MX,Adult,Male,2017,19.0,0.0,0.0,19,23.0908,..,..,7.4,6.2,6.8,3.9,134.263,80.389,..,5.17700004577637,5.36700010299683,5.28000020980835,23.0908,..,..,7.4,6.2,6.8,3.9,134.263,80.389,..,5.17700004577637,5.36700010299683,5.28000020980835
311,US,US,Adult,Female,2015,0.0,379.0,0.0,379,21.4754,..,..,7.3,6.1,6.7,3.8,138.455,82.066,..,4.78800010681152,4.93800020217896,4.86899995803833,21.4754,..,..,7.3,6.1,6.7,3.8,138.455,82.066,..,4.78800010681152,4.93800020217896,4.86899995803833
312,US,US,Adult,Female,2016,0.0,847.0,0.0,859,19.86,..,..,7.3,6,6.7,3.8,139.141,81.935,..,4.30800008773804,4.39599990844727,4.35500001907349,19.86,..,..,7.3,6,6.7,3.8,139.141,81.935,..,4.30800008773804,4.39599990844727,4.35500001907349
313,US,US,Adult,Female,2017,0.0,781.0,0.0,803,18.5562,..,..,7.2,6,6.6,3.8,..,..,..,3.83699989318848,3.94600009918213,3.89599990844727,18.5562,..,..,7.2,6,6.6,3.8,..,..,..,3.83699989318848,3.94600009918213,3.89599990844727
314,US,US,Adult,Female,2018,0.0,489.0,0.0,489,23.0908,..,..,7.4,6.2,6.8,3.9,134.263,80.389,..,5.17700004577637,5.36700010299683,5.28000020980835,23.0908,..,..,7.4,6.2,6.8,3.9,134.263,80.389,..,5.17700004577637,5.36700010299683,5.28000020980835
315,US,US,Minor,Female,2015,0.0,253.0,0.0,253,21.4754,..,..,7.3,6.1,6.7,3.8,138.455,82.066,..,4.78800010681152,4.93800020217896,4.86899995803833,21.4754,..,..,7.3,6.1,6.7,3.8,138.455,82.066,..,4.78800010681152,4.93800020217896,4.86899995803833
316,US,US,Minor,Female,2016,0.0,369.0,0.0,369,19.86,..,..,7.3,6,6.7,3.8,139.141,81.935,..,4.30800008773804,4.39599990844727,4.35500001907349,19.86,..,..,7.3,6,6.7,3.8,139.141,81.935,..,4.30800008773804,4.39599990844727,4.35500001907349
317,US,US,Minor,Female,2017,0.0,283.0,0.0,283,18.5562,..,..,7.2,6,6.6,3.8,..,..,..,3.83699989318848,3.94600009918213,3.89599990844727,18.5562,..,..,7.2,6,6.6,3.8,..,..,..,3.83699989318848,3.94600009918213,3.89599990844727
318,US,US,Minor,Female,2018,0.0,164.0,0.0,175,21.4754,..,..,7.3,6.1,6.7,3.8,138.455,82.066,..,4.78800010681152,4.93800020217896,4.86899995803833,21.4754,..,..,7.3,6.1,6.7,3.8,138.455,82.066,..,4.78800010681152,4.93800020217896,4.86899995803833
319,US,US,Minor,Male,2016,0.0,11.0,0.0,11,18.5562,..,..,7.2,6,6.6,3.8,..,..,..,3.83699989318848,3.94600009918213,3.89599990844727,18.5562,..,..,7.2,6,6.6,3.8,..,..,..,3.83699989318848,3.94600009918213,3.89599990844727
320,US,US,Minor,Male,2018,0.0,15.0,0.0,15,18.201,..,..,53,40.9,47.1,23.4,227.93,130.766,..,6.61199998855591,7.06899976730347,6.87799978256226,18.201,..,..,53,40.9,47.1,23.4,227.93,130.766,..,6.61199998855591,7.06899976730347,6.87799978256226
321,UZ,UZ,Adult,Female,2005,0.0,0.0,0.0,78,23.79,..,..,30.1,22.8,26.6,15.1,182.008,108.856,..,4.61800003051758,5.02899980545044,4.8600001335144,23.79,..,..,30.1,22.8,26.6,15.1,182.008,108.856,..,4.61800003051758,5.02899980545044,4.8600001335144
322,UZ,UZ,Adult,Female,2013,0.0,0.0,0.0,101,23.79,..,..,30.1,22.8,26.6,15.1,182.008,108.856,..,4.61800003051758,5.02899980545044,4.8600001335144,23.79,..,..,30.1,22.8,26.6,15.1,182.008,108.856,..,4.61800003051758,5.02899980545044,4.8600001335144
323,UZ,UZ,Adult,Male,2013,0.0,0.0,0.0,14,30.929,..,..,24.3,17.2,20.8,11,178.38,64.966,..,1.88199996948242,2.21000003814697,2.05299997329712,30.929,..,..,24.3,17.2,20.8,11,178.38,64.966,..,1.88199996948242,2.21000003814697,2.05299997329712
324,VN,VN,Adult,Female,2017,0.0,0.0,16.0,16,70.3488,..,..,41.1,34.9,38.1,10.9,431.175,304.312,..,27.0450000762939,23.1620006561279,24.8980007171631,49.2346,..,..,31.9,25.8,28.9,15.2,206.941,147.893,..,3.88299989700317,4.15000009536743,4.04899978637695
325,ZA,ID,Adult,Male,2014,36.0,0.0,0.0,36,,,,,,,,,,,,,,,,,,,,,,,,,,
326,unknown,BY,Adult,Female,2011,0.0,0.0,0.0,18,,,,,,,,,,,,,,,,,,,,,,,,,,
327,unknown,BY,Adult,Female,2012,0.0,0.0,0.0,73,,,,,,,,,,,,,,,,,,,,,,,,,,
328,unknown,BY,Adult,Male,2011,0.0,0.0,0.0,28,,,,,,,,,,,,,,,,,,,,,,,,,,
329,unknown,BY,Adult,Male,2012,0.0,0.0,0.0,59,,,,,,,,,,,,,,,,,,,,,,,,,,
330,unknown,BY,Minor,Female,2011,0.0,0.0,0.0,17,,,,,,,,,,,,,,,,,,,,,,,,,,
331,unknown,BY,Minor,Female,2012,0.0,0.0,0.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,
332,unknown,BY,Minor,Male,2012,0.0,0.0,0.0,17,,,,,,,,,,,,,,,,,,,,,,,,,,
333,unknown,CO,Adult,Female,2002,0.0,43.0,0.0,43,,,,,,,,,,,,,,,,,,,,,,,,,,
334,unknown,CO,unknown,Female,2002,0.0,31.0,0.0,31,,,,,,,,,,,,,,,,,,,,,,,,,,
335,unknown,CO,unknown,Female,2003,0.0,22.0,0.0,22,,,,,,,,,,,,,,,,,,,,,,,,,,
336,unknown,CO,unknown,Male,2003,0.0,15.0,0.0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
337,unknown,ID,Adult,Female,2014,0.0,0.0,0.0,111,,,,,,,,,,,,,,,,,,,,,,,,,,
338,unknown,ID,Minor,Female,2014,0.0,0.0,0.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,
339,unknown,KG,Adult,Female,2011,0.0,0.0,0.0,53,,,,,,,,,,,,,,,,,,,,,,,,,,
340,unknown,KG,Adult,Male,2010,0.0,0.0,0.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,
341,unknown,KG,Adult,Male,2011,0.0,0.0,0.0,87,,,,,,,,,,,,,,,,,,,,,,,,,,
342,unknown,KH,unknown,Female,2016,0.0,0.0,0.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,
343,unknown,KH,unknown,Female,2017,83.0,89.0,12.0,330,,,,,,,,,,,,,,,,,,,,,,,,,,
344,unknown,KH,unknown,Male,2017,13.0,0.0,0.0,29,,,,,,,,,,,,,,,,,,,,,,,,,,
345,unknown,MD,Adult,Female,2002,0.0,329.0,0.0,438,,,,,,,,,,,,,,,,,,,,,,,,,,
346,unknown,MD,Adult,Female,2003,0.0,215.0,0.0,215,,,,,,,,,,,,,,,,,,,,,,,,,,
347,unknown,MD,Adult,Female,2004,0.0,29.0,0.0,29,,,,,,,,,,,,,,,,,,,,,,,,,,
348,unknown,MD,Adult,Female,2011,0.0,0.0,0.0,252,,,,,,,,,,,,,,,,,,,,,,,,,,
349,unknown,MD,Adult,Male,2011,0.0,0.0,0.0,23,,,,,,,,,,,,,,,,,,,,,,,,,,
350,unknown,MD,Minor,Female,2011,0.0,0.0,0.0,127,,,,,,,,,,,,,,,,,,,,,,,,,,
351,unknown,MD,Minor,Male,2011,0.0,0.0,0.0,67,,,,,,,,,,,,,,,,,,,,,,,,,,
352,unknown,PH,unknown,Female,2016,1290.0,219.0,3846.0,6149,,,,,,,,,,,,,,,,,,,,,,,,,,
353,unknown,PH,unknown,Female,2017,17.0,11.0,16.0,44,,,,,,,,,,,,,,,,,,,,,,,,,,
354,unknown,PH,unknown,Male,2016,296.0,0.0,1787.0,2478,,,,,,,,,,,,,,,,,,,,,,,,,,
355,unknown,RO,Adult,Female,2002,0.0,0.0,0.0,39,,,,,,,,,,,,,,,,,,,,,,,,,,
356,unknown,UA,Adult,Female,2002,0.0,0.0,0.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,
357,unknown,unknown,unknown,Female,2016,0.0,0.0,0.0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
358,unknown,unknown,unknown,Female,2017,0.0,0.0,0.0,62,,,,,,,,,,,,,,,,,,,,,,,,,,
359,unknown,unknown,unknown,Male,2017,0.0,0.0,0.0,63,,,,,,,,,,,,,,,,,,,,,,,,,,
